LREF	INVOICEREF	TYPE	IOCODE	CROSSREF_MAIN_LREF	PAYTYPE	TRANSTYPE	LINETYPE	INST_NR	DATE_	PAYABLETOTAL	PAID	CANCELED	CANCELLATIONPAYMENT	CLIENTREF	ABYS_ID	ABYS_ACCOUNT_ID	ABYS_AGREEMENT_ID	ABYS_MAIN_LREF	ABYS_ACTION_TYPE_ID	OV_KIND	REF_DEPOSIT_ACCOUNT_ID	REF_DEPOSIT_ACCOUNT_ACTION_ID	CASH_ID	RECEIPT_NUMBER
84668343	84668343	101	1	83734437	174	113	103	0	2019-03-01 10:25:40	637	0	0	0	251522	84668343	38084923	197168	83734437	32	PAY	\N	\N	540	9231676
81291564	81291564	101	1	80843586	174	113	103	0	2018-10-10 08:59:28	28	0	0	0	251522	81291564	36544909	197168	80843586	32	PAY	\N	\N	528	7688941
88944085	88944085	101	1	88100361	174	113	103	0	2019-08-29 14:30:50	15	0	0	0	251522	88944085	40346650	197168	88100361	32	PAY	\N	\N	540	11135320
85377132	85377132	101	1	84463715	174	113	103	0	2019-03-29 11:30:28	441	0	0	0	251522	85377132	38461205	197168	84463715	32	PAY	\N	\N	540	9553332
93988473	93988473	101	1	93121943	174	113	103	0	2020-03-30 08:40:34	1026	0	0	0	251522	93988473	42884309	197168	93121943	32	PAY	\N	\N	540	13466558
92558059	92558059	101	1	91679380	174	113	103	0	2020-01-29 10:30:31	480	0	0	0	251522	92558059	42158856	197168	91679380	32	PAY	\N	\N	540	12819969
94666949	94666949	101	1	93829391	174	113	103	0	2020-04-29 09:08:12	377	0	0	0	251522	94666949	43251634	197168	93829391	32	PAY	\N	\N	540	13769082
96870338	96870338	101	1	95934245	174	113	103	0	2020-07-29 09:08:14	67	0	0	0	251522	96870338	44376331	197168	95934245	32	PAY	\N	\N	540	14765298
98437197	98437197	101	1	98195550	174	113	103	0	2020-10-02 12:51:27	63	0	0	0	251522	98437197	45547681	197168	98195550	32	PAY	\N	\N	521	15461187
95317473	95317473	101	1	94545194	174	113	103	0	2020-05-29 07:04:18	598	0	0	0	251522	95317473	43626208	197168	94545194	32	PAY	\N	\N	540	14073711
97443029	97443029	101	1	96746116	174	113	103	0	2020-08-24 09:50:20	32	0	0	0	251522	97443029	44786794	197168	96746116	32	PAY	\N	\N	521	15000376
99256372	99256372	101	1	98931828	174	113	103	0	2020-11-05 15:08:58	29	0	0	0	251522	99256372	45942159	197168	98931828	32	PAY	\N	\N	521	15823540
96133337	96133337	101	1	95260750	174	113	103	0	2020-06-30 14:12:11	188	0	0	0	251522	96133337	44003319	197168	95260750	32	PAY	\N	\N	540	14445868
99926070	99926070	101	1	99705474	174	113	103	0	2020-12-02 09:16:05	236	0	0	0	251522	99926070	46358370	197168	99705474	32	PAY	\N	\N	521	16134791
101408825	101408825	101	1	101228947	174	113	103	0	2021-02-01 10:37:55	667	0	0	0	251522	101408825	47151022	197168	101228947	16	PAY	\N	\N	540	16818169
100656835	100656835	101	1	100459636	174	113	103	0	2020-12-31 10:32:40	426	0	0	0	251522	100656835	46752028	197168	100459636	16	PAY	\N	\N	540	16478035
102898695	102898695	101	1	102712189	174	113	103	0	2021-03-30 10:36:58	670	0	0	0	251522	102898695	47945397	197168	102712189	16	PAY	\N	\N	540	17507480
102179063	102179063	101	1	101965969	174	113	103	0	2021-03-02 10:37:41	644	0	0	0	251522	102179063	47551404	197168	101965969	16	PAY	\N	\N	540	17168824
123745233	123745233	101	1	123745231	10	113	103	0	2023-07-26 13:49:34	202.07	0	0	0	251522	123745233	59106222	197168	123745231	6	MAHSUP	58522082	123745232	1	699728
123745235	123745235	101	1	123745231	10	113	103	0	2023-07-26 13:49:34	0.1	0	0	0	251522	123745235	59106222	197168	123745231	6	MAHSUP	58750448	123745234	1	699729
