AGR_ID|open_rows|open_amt
351817|24|26970.00
100741|153|26946.70
119980|6|26934.00
147249|6|26904.00
18960|144|26863.80
128640|12|26844.00
91584|132|26823.60
61143|128|26809.12
148744|18|26790.00
151047|144|26777.52
100522|18|26766.00
267536|96|26752.98
364731|144|26743.32
473199|84|26626.44
287576|168|26619.84
266885|216|26605.08
227677|144|26471.34
3498|144|26469.84
91381|58|26450.03
179919|12|26430.00
409128|18|26415.00
138605|18|26394.00
227915|180|26384.94
422851|24|26382.00
85610|21|26364.00
224823|9|26307.00
226407|132|26304.60
129953|231|26268.48
342082|72|26229.96
496099|18|26226.00
27433|132|26205.96
123105|165|26113.35
54420|12|26094.00
156956|234|26063.46
101827|24|26010.00
78566|12|25986.00
266479|120|25982.64
50127|15|25956.00
6692|144|25945.08
94674|210|25839.24
499471|84|25837.80
451681|12|25826.64
146573|12|25812.00
265073|12|25800.00
558114|12|25782.24
267937|156|25779.60
150567|144|25774.38
422203|9|25767.00
91606|12|25728.00
260455|132|25661.52
115712|9|25632.00
99779|231|25625.88
438709|9|25614.00
116319|12|25608.00
296168|132|25600.20
100800|6|25590.00
92740|18|25578.00
238530|108|25525.62
83743|153|25505.78
509912|4|25476.00
220589|24|25476.00
235371|12|25428.00
115448|12|25422.00
128179|12|25398.00
124806|144|25375.08
272625|176|25370.40
222392|6|25362.00
111349|450|25310.40
187550|234|25285.50
220701|216|25264.44
89236|18|25260.00
158716|12|25242.00
84365|27|25137.00
186451|12|25134.00
444853|144|25087.20
309448|108|25060.08
382286|132|25058.76
105696|27|25047.00
629042|85|25028.59
452142|12|25020.00
254841|12|25004.12
166131|132|24972.84
201422|180|24966.54
32187|30|24942.54
16188|120|24906.72
231336|180|24893.10
337743|132|24888.24
223937|144|24862.44
387831|24|24846.00
309080|108|24832.68
98856|216|24827.94
283653|165|24806.40
118375|198|24764.22
103485|9|24759.00
12253|96|24740.52
72276|660|24690.90
204421|105|24672.06
84065|132|24668.28
398187|132|24658.68
68630|24|24648.00
97600|216|24634.08
480079|30|24594.00
140917|54|24584.85
322021|12|24582.00
69629|198|24574.32
278213|132|24557.04
94572|180|24539.40
186679|18|24498.00
251889|198|24393.96
133960|168|24385.41
131125|18|24378.00
119599|9|24363.00
246832|132|24351.12
95863|24|24312.00
73165|12|24258.00
203549|84|24257.40
206886|12|24254.52
96891|12|24240.00
188568|6|24186.00
148783|9|24175.23
139181|6|24144.00
223033|6|24132.00
486691|96|24092.16
97605|216|24063.30
56582|12|23958.00
165851|147|23921.10
116576|12|23904.00
198599|12|23874.00
141781|153|23862.73
524352|6|23856.42
124118|12|23856.00
195470|6|23772.00
137459|9|23769.00
57296|6|23676.00
409977|6|23673.00
175455|216|23661.18
178200|165|23627.55
114627|216|23580.72
300399|144|23571.48
125614|18|23562.00
364187|132|23558.76
119962|270|23550.00
300628|132|23548.08
323709|12|23508.00
221021|12|23484.00
178324|12|23478.00
63686|6|23442.00
71735|18|23436.00
194998|12|23424.00
155405|6|23424.00
103616|18|23412.00
223520|144|23400.24
238849|144|23400.00
124194|12|23394.00
329983|84|23370.00
229606|156|23349.84
252928|144|23340.12
265464|18|23340.00
131440|9|23277.00
99666|216|23276.70
139443|12|23232.00
341692|144|23209.80
15309|120|23148.60
651032|60|23142.15
147984|144|23074.68
64031|195|23054.55
139537|9|23004.00
248724|120|22998.96
285218|144|22993.92
251701|132|22973.64
72348|216|22969.62
120941|231|22964.34
494019|126|22960.14
61593|12|22943.94
523796|180|22935.78
158567|36|22923.00
90919|18|22878.00
