LOG_ID	REASON	SEVERITY	PAY_LREF	MAIN_LREF	ACCOUNT_ID	AGREEMENT_ID	ACTION_TYPE_ID	PAYABLETOTAL	PAID_AMT	DETAIL	OV_KIND
91	PAY_NO_ALLOC	WARN	60940051	\N	12147565	197168	6	\N	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi (MAHSUP) DepAcc=27095068	TAH_LOG
92	PAY_NO_ALLOC	WARN	60940052	\N	12147565	197168	6	\N	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi (MAHSUP) DepAcc=27095069	TAH_LOG
93	PAY_NO_ALLOC	WARN	60940053	\N	12147565	197168	6	\N	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi (MAHSUP) DepAcc=27095067	TAH_LOG
94	PAY_NO_ALLOC	WARN	60940064	\N	12476283	197168	6	\N	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi (MAHSUP) DepAcc=27095064	TAH_LOG
95	PAY_NO_ALLOC	WARN	60940065	\N	12476283	197168	6	\N	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi (MAHSUP) DepAcc=27095070	TAH_LOG
96	PAY_NO_ALLOC	WARN	60940068	\N	12476283	197168	6	\N	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi (MAHSUP) DepAcc=27095066	TAH_LOG
97	PAY_NO_ALLOC	WARN	60940070	\N	12476283	197168	6	\N	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi (MAHSUP) DepAcc=27095071	TAH_LOG
98	PAY_NO_ALLOC	WARN	60940071	\N	12476283	197168	6	\N	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi (MAHSUP) DepAcc=27095072	TAH_LOG
99	PAY_NO_ALLOC	WARN	60940072	\N	12476283	197168	6	\N	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi (MAHSUP) DepAcc=27095068	TAH_LOG
100	PAY_NO_ALLOC	WARN	60940074	\N	12476283	197168	6	\N	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi (MAHSUP) DepAcc=27095069	TAH_LOG
101	PAY_NO_ALLOC	WARN	60940076	\N	12476283	197168	6	\N	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi (MAHSUP) DepAcc=27095067	TAH_LOG
102	PAY_NO_ALLOC	WARN	147976825	\N	135269152	978259	32	\N	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi	TAH_LOG
103	PAY_NO_ALLOC	WARN	151655668	\N	137162504	2221	32	\N	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi	TAH_LOG
104	PAY_NO_ALLOC	WARN	152902575	\N	137828571	978259	32	\N	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi	TAH_LOG
105	PAY_NO_ALLOC	WARN	152910253	\N	137833889	1192595	32	\N	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi	TAH_LOG
106	PAY_NO_ALLOC	WARN	152911855	\N	137834798	2221	32	\N	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi	TAH_LOG
