LREF	INVOICEREF	TYPE	IOCODE	CROSSREF_MAIN_LREF	PAYTYPE	TRANSTYPE	LINETYPE	INST_NR	DATE_	PAYABLETOTAL	PAID	CANCELED	CANCELLATIONPAYMENT	CLIENTREF	ABYS_ID	ABYS_ACCOUNT_ID	ABYS_AGREEMENT_ID	ABYS_MAIN_LREF	ABYS_ACTION_TYPE_ID	OV_KIND	REF_DEPOSIT_ACCOUNT_ID	REF_DEPOSIT_ACCOUNT_ACTION_ID	CASH_ID	RECEIPT_NUMBER	ALLOC_RN	PAY_FULL_AMT	ALLOC_SRC
47032753	47032753	101	1	32195157	174	113	103	0	2016-02-24 00:00:00	95	0	0	0	48214	47032753	25216880	2221	32195157	32	PAY	\N	\N	544	796632306	1	95	INCOME
47148436	47148436	101	1	32162037	174	113	103	0	2016-02-23 00:00:00	1325	0	0	0	48214	47148436	25183813	2221	32162037	32	PAY	\N	\N	544	795906764	1	1325	INCOME
47152985	47152985	101	1	31975263	174	113	103	0	2016-01-21 00:00:00	5615	0	0	0	48214	47152985	24997146	2221	31975263	32	PAY	\N	\N	544	781861917	1	5615	INCOME
47167686	47167686	101	1	33137949	174	113	103	0	2016-04-26 00:00:00	65	0	0	0	6879	47167686	26159209	5727	33137949	32	PAY	\N	\N	544	821770346	1	65	INCOME
47187175	47187175	101	1	32835328	174	113	103	0	2016-04-18 00:00:00	4475	0	0	0	48214	47187175	25856716	2221	32835328	32	PAY	\N	\N	544	818217159	1	4475	INCOME
47378508	47378508	101	1	32966836	174	113	103	0	2016-03-25 00:00:00	165	0	0	0	6879	47378508	25988168	5727	32966836	32	PAY	\N	\N	544	809502583	1	165	INCOME
47516805	47516805	101	1	33124498	174	113	103	0	2016-06-19 00:00:00	275	0	0	0	251522	47516805	26145760	197168	33124498	32	PAY	\N	\N	528	419145	1	275	INCOME
47682618	47682618	101	1	33441914	174	113	103	0	2016-06-17 00:00:00	40	0	0	0	6879	47682618	26463037	5727	33441914	32	PAY	\N	\N	530	2016000468190398	1	40	INCOME
47685189	47685189	101	1	33167118	174	113	103	0	2016-05-13 00:00:00	3475	0	0	0	48214	47685189	26188367	2221	33167118	32	PAY	\N	\N	519	609814	1	3475	INCOME
47737011	47737011	101	1	10794377	32	113	103	0	2006-12-06 00:00:00	65	0	0	0	6879	47737011	3872253	5727	10794377	4	PAY	\N	\N	13	3146	1	65	INCOME
47856725	47856725	101	1	18914981	32	113	103	0	2011-10-20 00:00:00	10	0	0	0	306082	47856725	11946825	276503	18914981	4	PAY	\N	\N	80	13455	1	10	INCOME
47900036	47900036	101	1	21096102	32	113	103	0	2013-01-16 00:00:00	25	0	0	0	306082	47900036	14125715	276503	21096102	4	PAY	\N	\N	70	85755	1	27.54	INCOME
1350000202	47900036	101	1	47900035	32	113	103	0	2013-01-16 00:00:00	2.54	0	0	0	306082	47900036	14125715	276503	47900035	4	PAY	\N	\N	70	85755	2	27.54	INCOME
48069293	48069293	101	1	8284140	32	113	103	0	2004-10-06 00:00:00	12.63	0	0	0	6879	48069293	1372203	5727	8284140	4	PAY	\N	\N	9	9434	1	12.63	INCOME
48165458	48165458	101	1	14852598	174	113	103	0	2009-10-02 00:00:00	25	0	0	0	251522	48165458	7898599	197168	14852598	7	PAY	\N	\N	544	291500700303	1	25	INCOME
48179931	48179931	101	1	15683689	32	113	103	0	2010-03-24 00:00:00	395	0	0	0	251522	48179931	8724588	197168	15683689	4	PAY	\N	\N	74	23250	1	395	INCOME
48230664	48230664	101	1	19416969	32	113	103	0	2011-11-28 00:00:00	110	0	0	0	306082	48230664	12448286	276503	19416969	4	PAY	\N	\N	22	62812	1	110	INCOME
48237954	48237954	101	1	19901375	32	113	103	0	2012-02-08 00:00:00	1840	0	0	0	48214	48237954	12932039	2221	19901375	4	PAY	\N	\N	22	69877	1	1840	INCOME
48357301	48357301	101	1	27537193	174	113	103	0	2014-11-20 00:00:00	15	0	0	0	251522	48357301	20561806	197168	27537193	32	PAY	\N	\N	519	12280632	1	15	INCOME
48540228	48540228	101	1	15101112	32	113	103	0	2009-11-16 00:00:00	1160	0	0	0	48214	48540228	8144864	2221	15101112	4	PAY	\N	\N	32	15752	1	1160	INCOME
48561781	48561781	101	1	16638762	174	113	103	0	2010-09-07 00:00:00	15	0	0	0	251522	48561781	9673615	197168	16638762	33	PAY	\N	\N	531	240236149999	1	15	INCOME
48623211	48623211	101	1	20770139	174	113	103	0	2012-06-18 00:00:00	35	0	0	0	251522	48623211	13800010	197168	20770139	33	PAY	\N	\N	531	222236119999	1	35	INCOME
48670171	48670171	101	1	23658959	174	113	103	0	2013-08-01 00:00:00	45	0	0	0	6879	48670171	16686487	5727	23658959	22	PAY	\N	\N	551	10834801	1	45	INCOME
48834146	48834146	101	1	9765217	32	113	103	0	2006-01-17 00:00:00	4902.76	0	0	0	48214	48834146	2849211	2221	9765217	4	PAY	\N	\N	14	33138	1	4902.76	INCOME
48925859	48925859	101	1	16073291	33	113	103	0	2010-05-25 00:00:00	20	0	0	0	6879	48925859	9112493	5727	16073291	5	PAY	\N	\N	52	3516	1	20	INCOME
49023919	49023919	101	1	21781791	174	113	103	0	2013-01-15 00:00:00	150	0	0	0	251522	49023919	14810695	197168	21781791	33	PAY	\N	\N	531	240236119999	1	150	INCOME
49076691	49076691	101	1	26092650	174	113	103	0	2014-04-24 00:00:00	5600	0	0	0	48214	49076691	19118248	2221	26092650	32	PAY	\N	\N	544	545638371	1	5600	INCOME
49102422	49102422	101	1	28553463	174	113	103	0	2014-12-25 00:00:00	215	0	0	0	6879	49102422	21577391	5727	28553463	32	PAY	\N	\N	544	630275338	1	215	INCOME
49177991	49177991	101	1	8151321	174	113	103	0	2004-12-21 00:00:00	36.49	0	0	0	6879	49177991	1239736	5727	8151321	7	PAY	\N	\N	519	390	1	36.49	INCOME
49199227	49199227	101	1	9451434	32	113	103	0	2005-08-22 00:00:00	15	0	0	0	6879	49199227	2536775	5727	9451434	4	PAY	\N	\N	51	6795	1	15	INCOME
49225792	49225792	101	1	11288757	174	113	103	0	2007-04-16 00:00:00	4215	0	0	0	48214	49225792	4365114	2221	11288757	7	PAY	\N	\N	530	88680026901	1	4215	INCOME
